Category,Intent,Intent Detail,BOT Script - STEP 1,STEP 2,Code PEGA
Kênh hỗ trợ,Thắc mắc kênh hỗ trợ,"KH chưa biết cách liên hệ để nhận hỗ trợ từ FE, giới thiệu chung","FECREDIT có thể hỗ trợ anh/chị qua nhiều kênh khác nhau: hỗ trợ qua điện thoại, trực tiếp tại quầy hoặc hỗ trợ qua email, chat trực tiếp trên ứng dụng. Anh chị cần em hướng dẫn cụ thể hơn về cách nào ạ?",,"HĐ đang tương tác là Loan: IL01-Thông tin chung
HĐ đang tương tác là Card: IC01-Thông tin chung
Không xác định: Dựa vào số tổng đài KH gọi (Loan/Card) để nhập"
,hỗ trợ qua điện thoại,KH cần hướng dẫn cụ thể về kênh hotline,"Dạ, để liên hệ với trung tâm DVKH FECREDIT, anh/chị có thể gọi 1 trong 2 số tổng đài sau: Tổng đài sản phẩm vay 1900 6535, Tổng đài sản phẩm thẻ tín dụng 1900 6939
Thời gian hỗ trợ của tổng đài từ 7 giờ đến 19 giờ. Với các vấn đề phản ánh, khiếu nại, trung tâm DVKH sẽ hỗ trợ anh/chị đến 21 giờ và hỗ trợ 24/7 với các vấn đề về sự cố thẻ tín dụng ạ.",,
,hỗ trợ trực tiếp,KH cần hướng dẫn thời gian/địa điểm kênh hỗ trợ trực tiếp,"Hiện tại, FECREDIT có văn phòng hỗ trợ trực tiếp duy nhất tại địa chỉ Tòa nhà FECREDIT, Số 144 Cộng Hòa, Phường 12, Quận Tân Bình, thành phố Hồ Chí Minh
Anh chị có thể đến trong các ngày từ thứ 2 đến  thứ 6 (trừ Lễ, Tết). Khung giờ hỗ trợ là Sáng: 8 giờ 30 đến 11 giờ 30, Chiều: 13 giờ 30 đến 16 giờ 30",,
,hỗ trợ điện tử,KH cần cung cấp địa chỉ email DVKH hoặc các ứng dụng hỗ trợ điện tử,"Anh/chị có thể gửi yêu cầu hỗ trợ về địa chỉ: dichvukhachhang@fecredit.com.vn hoặc chat trực tiếp với nhân viên hỗ trợ qua các ứng dụng Zalo, FE ONLINE, Facebook, Website",,
Kênh thanh toán,Thắc mắc kênh thanh toán,"KH chưa biết cách thanh toán cho khoản vay, giới thiệu chung các kênh thanh toán","FECREDIT hiện tại hỗ trợ thanh toán khoản vay linh hoạt qua nhiều hình thức: thanh toán tiền mặt, thanh toán online qua ứng dụng ngân hàng, ví điện tử, ứng dụng FE ONLINE. Anh chị cần em hướng dẫn cụ thể hơn về cách thanh toán nào ạ?",,"HĐ đang tương tác là Loan: IL02-Kênh thanh toán
HĐ đang tương tác là Card: IC01-Kênh thanh toán
Không xác định: Dựa vào số tổng đài KH gọi (Loan/Card) để nhập"
,Thanh toán trực tiếp,KH muốn biết cách đóng tiền trực tiếp,"Anh/chị có thể thanh toán trực tiếp tại các cửa hàng như Thế giới di động, Điện Máy Xanh, Bách hóa xanh, FPT Shop, VNPT EPAY, Viettel, Cửa hàng tiện lợi, Bưu điện, các Ngân hàng, qua Máy nộp tiền tự động... trên toàn quốc.
- Khi thanh toán cần ghi rõ và đầy đủ Số hợp đồng hoặc Số tài khoản thẻ
- Sau khi thanh toán, Anh/chị vui lòng giữ lại hóa đơn/biên lai xác nhận giao dịch. Thời gian công ty nhận được tiền là trong 02 ngày làm việc (không tính thứ 7, chủ nhật và ngày lễ). ",,
,Thanh toán chuyển khoản,KH muốn biết cách đóng tiền hình thức chuyển khoản,"Để thanh toán theo hình thức chuyển khoản, Anh/chị vui lòng lưu ý các thông tin sau:
- Số tài khoản nhận của công ty là 6522 7557
- Ngân hàng thụ hưởng là VPBank - chi nhánh Hội Sở
- Tên tài khoản thụ hưởng là CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC
- Đặc biệt, anh/chị lưu ý cần ghi đầy đủ số hợp đồng hoặc số tài khoản thẻ tín dụng vào nội dung thanh toán.
- Sau khi thanh toán xong, anh/chị vui lòng chụp và giữ lại màn hình xác nhận giao dịch thành công.
- Thời gian công ty nhận được tiền là trong 02 ngày làm việc (không tính thứ 7, chủ nhật và ngày lễ).",,
,Thanh toán qua ví điện tử,KH muốn biết đóng tiền qua ví điện tử,"Anh/chị có thể thanh toán qua các ví điện tử như: Zalopay/ Smartpay/ Momo/ Payoo/ Viettel Pay.
Trong các ứng dụng này, anh/chị chọn thanh toán cho khoản vay, chọn công ty FECREDIT, sau đó điền thông tin số hợp đồng hoặc căn cước công dân và thông tin thanh toán.
- Sau khi thanh toán, Anh/chị vui lòng chụp và giữ lại màn hình xác nhận giao dịch thành công.
- Thời gian công ty nhận được tiền là trong 02 ngày làm việc (không tính thứ 7, chủ nhật và ngày lễ).",,
,Thanh toán qua FE ONLINE,KH muốn biết cách đóng tiền qua ứng dụng FEOL,"Anh/chị có thể dễ dàng thanh toán cho khoản vay/thẻ FE CREDIT trên ứng dụng FE ONLINE, bằng cách vào Appstore hoặc CH Play tìm và tải ứng dụng tên FE ONLINE. 
Ứng dụng liên kết tài khoản ngân hàng của anh chị đang sử dụng, 
-  Sau khi thanh toán, Anh/chị vui lòng chụp và giữ lại màn hình xác nhận giao dịch thành công.
- Thời gian công ty nhận được tiền là trong 02 ngày làm việc (không tính thứ 7, chủ nhật và ngày lễ).",,
Thông tin CIC,Thay đổi nhóm nợ,KH muốn biết cách thay đổi nhóm nợ,"Dạ, để được cập nhật lại nhóm nợ.
- Đối với khoản vay dưới 10 triệu: Anh/chị cần thanh toán đúng hạn cho 1 kỳ góp tiếp theo
- Đối với khoản vay trên 10 triệu: Anh/chị cần thanh toán đúng hạn cho 3 kỳ góp tiếp theo
Khi Anh/chị thanh lý toàn bộ dư nợ, công ty sẽ ngưng báo cáo nhóm nợ, lịch sử tín dụng của Anh/chị sẽ cập nhật theo nhóm nợ cao nhất tương ứng với lịch sử thanh toán
",,"HĐ đang tương tác là Loan: IL04-Thông tin liên quan CIC
HĐ đang tương tác là Card: IC04-Thông tin liên quan CIC
Không xác định: Dựa vào số tổng đài KH gọi (Loan/Card) để nhập"
